leecode_num,title,acceptance,difficulty,frequency,freq_rank
871,Minimum Number of Refueling Stops,32.1%,Hard,2.7220278497599724,153
198,House Robber,42.6%,Medium,2.7184683946312513,154
158,Read N Characters Given Read4 II - Call multiple times,36.0%,Hard,2.7053620274404095,155
210,Course Schedule II,42.0%,Medium,2.70068832840161,156
50,"Pow(x, n)",30.7%,Medium,2.699531239316666,157
179,Largest Number,30.3%,Medium,2.6940660472656965,158
32,Longest Valid Parentheses,29.0%,Hard,2.6919534485083165,159
279,Perfect Squares,48.4%,Medium,2.681692678341311,160
843,Guess the Word,46.4%,Hard,2.6813942111000446,161
341,Flatten Nested List Iterator,54.0%,Medium,2.6804678954821566,162
203,Remove Linked List Elements,39.0%,Easy,2.6712769066454007,163
12,Integer to Roman,55.8%,Medium,2.6602431895165375,164
909,Snakes and Ladders,39.0%,Medium,2.654369456740256,165
8,String to Integer (atoi),15.5%,Medium,2.6539223112643007,166
363,Max Sum of Rectangle No Larger Than K,38.2%,Hard,2.6531471149438604,167
609,Find Duplicate File in System,60.7%,Medium,2.650991362644464,168
148,Sort List,45.5%,Medium,2.6481143350330774,169
974,Subarray Sums Divisible by K,50.3%,Medium,2.6395215462580244,170
468,Validate IP Address,24.7%,Medium,2.6193845640165536,171
393,UTF-8 Validation,37.8%,Medium,2.6174212655074363,172
18,4Sum,34.4%,Medium,2.6054387565785575,173
70,Climbing Stairs,48.4%,Easy,2.598673500580209,174
399,Evaluate Division,53.8%,Medium,2.5871436413646838,175
403,Frog Jump,40.9%,Hard,2.57871419970779,176
86,Partition List,42.7%,Medium,2.574658746389674,177
207,Course Schedule,44.1%,Medium,2.5716402737267927,178
1242,Web Crawler Multithreaded,47.4%,Medium,2.5594788843004945,179
723,Candy Crush,71.9%,Medium,2.5533311092455944,180
741,Cherry Pickup,34.8%,Hard,2.5465770827717105,181
123,Best Time to Buy and Sell Stock III,39.5%,Hard,2.5464915510322212,182
51,N-Queens,48.6%,Hard,2.5445674161081286,183
1220,Count Vowels Permutation,53.9%,Hard,2.536440299903183,184
175,Combine Two Tables,63.1%,Easy,2.5360414008592405,185
315,Count of Smaller Numbers After Self,42.4%,Hard,2.5094322998516203,186
636,Exclusive Time of Functions,53.6%,Medium,2.499148295414934,187
543,Diameter of Binary Tree,48.9%,Easy,2.4809967897893577,188
34,Find First and Last Position of Element in Sorted Array,36.9%,Medium,2.478596909168613,189
169,Majority Element,59.7%,Easy,2.4728971192102147,190
39,Combination Sum,58.4%,Medium,2.471040182526382,191
1130,Minimum Cost Tree From Leaf Values,67.1%,Medium,2.4507372076074354,192
309,Best Time to Buy and Sell Stock with Cooldown,47.9%,Medium,2.449833701354125,193
149,Max Points on a Line,17.2%,Hard,2.4471329576655947,194
388,Longest Absolute File Path,42.3%,Medium,2.446324249862269,195
957,Prison Cells After N Days,40.2%,Medium,2.4424549160532725,196
472,Concatenated Words,45.1%,Hard,2.4352322564192903,197
523,Continuous Subarray Sum,24.7%,Medium,2.4274869090592945,198
920,Number of Music Playlists,47.6%,Hard,2.4208847910230693,199
83,Remove Duplicates from Sorted List,46.1%,Easy,2.4109024180021223,200
188,Best Time to Buy and Sell Stock IV,29.0%,Hard,2.4038349433850428,201
406,Queue Reconstruction by Height,67.9%,Medium,2.400246444764578,202
539,Minimum Time Difference,52.0%,Medium,2.392533329656985,203
101,Symmetric Tree,47.7%,Easy,2.3920044816747144,204
98,Validate Binary Search Tree,28.5%,Medium,2.374626645859016,205
1348,Tweet Counts Per Frequency,32.7%,Medium,2.372508903571724,206
493,Reverse Pairs,26.3%,Hard,2.3720186387197026,207
489,Robot Room Cleaner,71.9%,Hard,2.3653381945797984,208
162,Find Peak Element,43.7%,Medium,2.364147160914312,209
151,Reverse Words in a String,23.1%,Medium,2.36345234928284,210
378,Kth Smallest Element in a Sorted Matrix,55.6%,Medium,2.36269063283236,211
143,Reorder List,40.0%,Medium,2.360365021359323,212
120,Triangle,45.2%,Medium,2.3591409156738496,213
204,Count Primes,32.0%,Easy,2.353385308091502,214
545,Boundary of Binary Tree,39.3%,Medium,2.347024844923451,215
572,Subtree of Another Tree,44.4%,Easy,2.342053086456467,216
242,Valid Anagram,57.8%,Easy,2.3325814675505443,217
126,Word Ladder II,23.2%,Hard,2.32769655375808,218
177,Nth Highest Salary,32.7%,Medium,2.3267212467932623,219
1423,Maximum Points You Can Obtain from Cards,45.9%,Medium,2.3258105496026675,220
133,Clone Graph,38.0%,Medium,2.3256924703658743,221
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,43.6%,Medium,2.3241791623018755,222
29,Divide Two Integers,16.6%,Medium,2.3203833054035585,223
226,Invert Binary Tree,66.4%,Easy,2.319809674719071,224
353,Design Snake Game,35.1%,Medium,2.3096467151202513,225
75,Sort Colors,48.7%,Medium,2.3086071921571385,226
402,Remove K Digits,28.5%,Medium,2.3072343794511694,227
1344,Angle Between Hands of a Clock,61.2%,Medium,2.306193034370245,228
19,Remove Nth Node From End of List,35.5%,Medium,2.3007425414311222,229
268,Missing Number,53.0%,Easy,2.2965077292804947,230
724,Find Pivot Index,44.9%,Easy,2.2882516698656046,231
437,Path Sum III,47.8%,Medium,2.2845853467259714,232
118,Pascal's Triangle,54.1%,Easy,2.2794622072122603,233
438,Find All Anagrams in a String,44.5%,Medium,2.2766303017408775,234
1048,Longest String Chain,55.2%,Medium,2.276076249859536,235
679,24 Game,47.0%,Hard,2.269424831196639,236
761,Special Binary String,58.5%,Hard,2.2598404475820306,237
592,Fraction Addition and Subtraction,49.9%,Medium,2.2570785053658278,238
65,Valid Number,15.7%,Hard,2.2547105224618935,239
71,Simplify Path,33.5%,Medium,2.2546809788083104,240
1293,Shortest Path in a Grid with Obstacles Elimination,42.7%,Hard,2.2458322764015963,241
87,Scramble String,34.4%,Hard,2.2442546895678523,242
74,Search a 2D Matrix,37.1%,Medium,2.242228545741496,243
430,Flatten a Multilevel Doubly Linked List,56.5%,Medium,2.2416410771110624,244
214,Shortest Palindrome,30.4%,Hard,2.2161974784726906,245
698,Partition to K Equal Sum Subsets,45.5%,Medium,2.2049754811918274,246
465,Optimal Account Balancing,48.0%,Hard,2.2017726238341235,247
735,Asteroid Collision,43.1%,Medium,2.200929844733245,248
819,Most Common Word,45.3%,Easy,2.199994799241369,249
1244,Design A Leaderboard,65.3%,Medium,2.199422380418699,250
1031,Maximum Sum of Two Non-Overlapping Subarrays,58.8%,Medium,2.1962170205759195,251
